牛号,出生日期,父亲牛号,外祖父号,胎次,繁殖状态
190232,09/12/2019,291HO16049,151HO03060,0,已配未检
190233,09/14/2019,15180513,529HO13402,0,出生
190234,09/14/2019,15180513,,0,出生
190235,09/14/2019,291HO16049,AUSHO1682910,0,已配未检
190236,09/15/2019,15180513,AUSHO1682910,0,出生
190238,09/15/2019,15180513,,0,出生
190239,09/15/2019,15180513,AUSHO1682910,0,出生
190240,09/16/2019,291HO16049,,0,出生
190241,09/16/2019,15180513,,0,出生
190242,09/17/2019,15180513,,0,已配未检
190243,09/18/2019,291HO16049,AUSHO1682910,0,出生
190245,09/18/2019,15180513,AUSHO1657573,0,出生
190246,10/27/2019,291HO16049,151HO03060,0,出生
190247,09/20/2019,15180513,,0,出生
190248,09/22/2019,15180513,,0,出生
190249,09/22/2019,291HO16049,151HO01610,0,出生
190250,09/23/2019,15180513,,0,出生
190251,09/24/2019,11109875,,0,出生
190252,09/24/2019,291HO16049,151HO03060,0,出生
190253,09/26/2019,11109875,,0,出生
190254,09/26/2019,11109875,,0,出生
190255,09/27/2019,15180513,151HO00569,0,出生
190256,10/01/2019,15180513,,0,出生
190257,10/01/2019,291HO16049,151HO03060,0,出生
190258,10/02/2019,291HO16049,,0,已配未检
190259,10/03/2019,291HO16049,,0,出生
190261,10/05/2019,291HO16049,151HO03060,0,出生
190262,10/06/2019,15180513,,0,出生
190263,10/07/2019,291HO16049,151HO03060,0,出生
190264,10/08/2019,15180513,,0,出生
190265,10/08/2019,291HO16049,AUSHO1682910,0,出生
190267,10/08/2019,11109875,,0,出生
190268,10/09/2019,291HO16049,151HO01610,0,出生
190269,10/09/2019,291HO16049,,0,出生
190270,10/09/2019,15180513,1336,0,出生
190271,10/12/2019,291HO16049,,0,出生
190272,10/12/2019,15180513,529HO14269,0,出生
190273,10/12/2019,291HO16049,,0,出生
190274,10/13/2019,15180513,029HO15384,0,已配未检
190275,10/13/2019,15180513,151HO00569,0,已配未检
190276,10/13/2019,291HO16049,,0,出生
190277,10/14/2019,15180513,151HO00569,0,出生
190278,10/16/2019,291HO16049,151HO01610,0,出生
190279,10/19/2019,291HO16049,,0,出生
190280,10/20/2019,11109875,,0,出生
190281,10/21/2019,291HO16049,,0,出生
190282,10/21/2019,291HO16049,,0,出生
190284,10/25/2019,15180513,AUSHO1657573,0,出生
190285,10/25/2019,15180513,,0,出生
190286,10/25/2019,291HO16049,151HO03060,0,出生
190287,10/27/2019,11109875,,0,出生
190288,10/28/2019,15180513,,0,出生
190289,10/28/2019,291HO16049,151HO03060,0,出生
190290,10/29/2019,291HO16049,,0,出生
190291,10/29/2019,15180513,,0,出生
190293,11/01/2019,15180513,,0,出生
190294,11/03/2019,15180513,AUSHO1682910,0,出生
190295,11/04/2019,15180513,,0,出生
190296,11/05/2019,15180513,,0,出生
190297,11/05/2019,11109875,,0,出生
190299,11/06/2019,15180513,,0,出生
190300,11/07/2019,291HO16049,151HO01610,0,出生
190301,11/09/2019,291HO16049,,0,出生
190302,11/10/2019,291HO16049,,0,出生
190303,11/11/2019,15180513,,0,出生
190304,11/11/2019,15180513,,0,出生
190305,11/11/2019,15180513,,0,出生
190306,11/12/2019,291HO16049,,0,出生
190307,11/14/2019,15180513,,0,出生
190308,11/14/2019,15180513,,0,出生
190309,11/15/2019,291HO16049,151HO01610,0,出生
190310,11/15/2019,15180513,AUSHO1657573,0,出生
190313,11/19/2019,15180513,,0,出生
190314,11/20/2019,291HO16049,151HO01615,0,出生
190315,11/20/2019,11109875,,0,出生
190316,11/22/2019,291HO16049,,0,出生
190317,11/24/2019,291HO16049,151HO01610,0,出生
190318,11/25/2019,15180513,,0,出生
190320,11/27/2019,15180513,1083,0,出生
190321,11/27/2019,291HO16049,151HO01615,0,出生
190322,12/01/2019,291HO16049,,0,出生
190323,12/01/2019,15180513,,0,出生
190324,12/01/2019,15180513,,0,出生
190325,12/03/2019,15180513,,0,出生
190326,12/04/2019,15180513,,0,出生
190327,12/04/2019,291HO16049,151HO01610,0,出生
190328,12/05/2019,15180513,,0,出生
190329,12/06/2019,291HO16049,151HO01615,0,出生
