,牛号,月龄,胎次,繁殖状态,泌乳天数,产后天数,空怀天数,配种次数,奶量1,奶量2,牛舍名称,出生日期,父亲牛号,外祖父号,繁殖代码_,怀孕日期,产犊日期,干奶日期,配种日期,流产日期,与配公牛,配种组,RC
149,6500,70,4,复检+,267,267,108,1,70,70,红达104低产,12/25/2014,-1,-1,-1,05/30/2020,02/12/2020,01/01/1970,05/30/2020,01/01/1970,029HO18790,0,5
150,6506,77,4,复检+,245,245,142,3,77,77,红达105高产,06/09/2014,-1,-1,-1,07/26/2020,03/05/2020,01/01/1970,07/26/2020,01/01/1970,029HO18790,0,5
151,7010,25,1,初检+,100,100,62,1,25,25,红达106高产,09/15/2018,-1,-1,-1,09/29/2020,07/28/2020,01/01/1970,09/29/2020,01/01/1970,291HO17029,0,5
152,7036,25,1,已配未检,98,98,-1,1,25,25,红达106高产,09/21/2018,-1,-1,-1,01/01/1970,07/30/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0,4
153,7046,26,1,初检+,99,99,59,1,26,26,红达106高产,08/31/2018,-1,-1,-1,09/27/2020,07/29/2020,01/01/1970,09/27/2020,01/01/1970,029HO18790,0,5
154,7068,24,1,已配未检,88,88,-1,1,24,24,红达102新产,10/16/2018,-1,-1,-1,01/01/1970,08/09/2020,01/01/1970,10/19/2020,01/01/1970,31106121,0,4
155,7069,25,1,已配未检,82,82,-1,1,25,25,红达102新产,09/15/2018,-1,-1,-1,01/01/1970,08/15/2020,01/01/1970,10/18/2020,01/01/1970,291HO17029,0,4
156,7079,25,1,已配未检,77,77,-1,1,25,25,红达102新产,09/24/2018,-1,-1,-1,01/01/1970,08/20/2020,01/01/1970,10/19/2020,01/01/1970,31106121,0,4
157,7094,25,1,初检+,97,97,42,1,25,25,红达106高产,09/30/2018,-1,-1,-1,09/12/2020,07/31/2020,01/01/1970,09/12/2020,01/01/1970,029HO18790,0,5
158,7111,22,1,已配未检,88,88,-1,1,22,22,红达102新产,12/16/2018,-1,-1,-1,01/01/1970,08/09/2020,01/01/1970,10/19/2020,01/01/1970,31106121,0,4
159,7134,26,1,已配未检,114,114,-1,2,26,26,红达106高产,09/03/2018,-1,-1,-1,01/01/1970,07/14/2020,01/01/1970,10/17/2020,01/01/1970,11116697,0,4
160,7138,26,1,初检+,104,104,47,1,26,26,红达106高产,09/06/2018,-1,-1,-1,09/10/2020,07/24/2020,01/01/1970,09/10/2020,01/01/1970,029HO18790,0,5
161,7140,25,1,初检-,103,103,-1,1,25,25,红达106高产,09/11/2018,-1,-1,-1,01/01/1970,07/25/2020,01/01/1970,09/25/2020,01/01/1970,029HO18790,0,3
162,7143,25,1,初检+,113,113,47,1,25,25,红达106高产,09/20/2018,-1,-1,-1,08/31/2020,07/15/2020,01/01/1970,08/31/2020,01/01/1970,029HO18790,0,5
163,7144,25,1,已配未检,109,109,-1,1,25,25,红达106高产,09/22/2018,-1,-1,-1,01/01/1970,07/19/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0,4
164,7147,25,1,已配未检,94,94,-1,1,25,25,红达106高产,09/26/2018,-1,-1,-1,01/01/1970,08/03/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0,4
165,7151,25,1,初检-,98,98,-1,2,25,25,红达106高产,10/02/2018,-1,-1,-1,01/01/1970,07/30/2020,01/01/1970,09/27/2020,01/01/1970,029HO18790,0,3
166,7154,25,1,初检-,103,103,-1,1,25,25,红达106高产,10/06/2018,-1,-1,-1,01/01/1970,07/25/2020,01/01/1970,09/25/2020,01/01/1970,029HO18790,0,3
167,7287,25,1,已配未检,88,88,-1,1,25,25,红达102新产,09/24/2018,-1,-1,-1,01/01/1970,08/09/2020,01/01/1970,10/19/2020,01/01/1970,31106121,0,4
168,7360,28,1,已配未检,82,82,-1,1,28,28,红达102新产,06/21/2018,-1,-1,-1,01/01/1970,08/15/2020,01/01/1970,10/19/2020,01/01/1970,31106121,0,4
169,7415,26,1,已配未检,154,154,-1,5,26,26,红达106高产,09/02/2018,-1,-1,-1,01/01/1970,06/04/2020,01/01/1970,10/17/2020,01/01/1970,11116697,0,4
170,7419,26,1,已配未检,127,127,-1,4,26,26,红达106高产,08/18/2018,-1,-1,-1,01/01/1970,07/01/2020,01/01/1970,10/23/2020,01/01/1970,291HO17029,0,4
171,7424,25,1,已配未检,99,99,-1,1,25,25,红达106高产,10/02/2018,-1,-1,-1,01/01/1970,07/29/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0,4
172,7425,25,1,已配未检,88,88,-1,1,25,25,红达102新产,10/02/2018,-1,-1,-1,01/01/1970,08/09/2020,01/01/1970,10/19/2020,01/01/1970,31106121,0,4
173,7426,26,1,初检+,153,153,92,3,26,26,红达106高产,09/02/2018,-1,-1,-1,09/06/2020,06/05/2020,01/01/1970,09/06/2020,01/01/1970,029HO18790,0,5
174,7427,26,1,初检+,105,105,44,1,26,26,红达106高产,08/18/2018,-1,-1,-1,09/06/2020,07/23/2020,01/01/1970,09/06/2020,01/01/1970,029HO18790,0,5
175,7435,26,1,已配未检,108,108,-1,2,26,26,红达106高产,08/08/2018,-1,-1,-1,01/01/1970,07/20/2020,01/01/1970,10/09/2020,01/01/1970,11116697,0,4
176,7441,25,1,初检+,134,134,90,2,25,25,红达106高产,10/02/2018,-1,-1,-1,09/23/2020,06/24/2020,01/01/1970,09/23/2020,01/01/1970,029HO18790,0,5
177,7442,25,1,初检+,125,125,48,1,25,25,红达106高产,10/02/2018,-1,-1,-1,08/21/2020,07/03/2020,01/01/1970,08/21/2020,01/01/1970,029HO18790,0,5
178,7444,26,1,已配未检,100,100,-1,1,26,26,红达106高产,08/18/2018,-1,-1,-1,01/01/1970,07/28/2020,01/01/1970,09/27/2020,01/01/1970,029HO18790,0,4
179,7446,25,1,已配未检,116,116,-1,2,25,25,红达106高产,09/17/2018,-1,-1,-1,01/01/1970,07/12/2020,01/01/1970,09/30/2020,01/01/1970,291HO17029,0,4
180,7448,27,1,已配未检,66,66,-1,1,27,27,红达102新产,08/03/2018,-1,-1,-1,01/01/1970,08/31/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0,4
181,7450,27,1,初检+,119,119,70,1,27,27,红达106高产,08/03/2018,-1,-1,-1,09/17/2020,07/09/2020,01/01/1970,09/17/2020,01/01/1970,029HO18790,0,5
182,7459,26,1,初检+,107,107,56,2,26,26,红达106高产,08/18/2018,-1,-1,-1,09/16/2020,07/21/2020,01/01/1970,09/16/2020,01/01/1970,029HO18790,0,5
183,7461,25,1,已配未检,101,101,-1,2,25,25,红达106高产,10/07/2018,-1,-1,-1,01/01/1970,07/27/2020,01/01/1970,10/17/2020,01/01/1970,11116697,0,4
184,7467,26,1,已配未检,155,155,-1,4,26,26,红达106高产,08/18/2018,-1,-1,-1,01/01/1970,06/03/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0,4
185,7470,23,1,复检+,147,147,66,3,23,23,红达106高产,12/01/2018,-1,-1,-1,08/16/2020,06/11/2020,01/01/1970,08/16/2020,01/01/1970,029HO18790,0,5
186,7472,25,1,已配未检,129,129,-1,2,25,25,红达301病房,09/17/2018,-1,-1,-1,01/01/1970,06/29/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0,4
187,7474,25,1,复检+,138,138,46,1,25,25,红达106高产,10/02/2018,-1,-1,-1,08/06/2020,06/20/2020,01/01/1970,08/06/2020,01/01/1970,029HO18790,0,5
188,7475,27,1,已配未检,109,109,-1,2,27,27,红达106高产,08/03/2018,-1,-1,-1,01/01/1970,07/19/2020,01/01/1970,09/30/2020,01/01/1970,11116697,0,4
189,7476,28,1,已配未检,133,133,-1,2,28,28,红达106高产,07/04/2018,-1,-1,-1,01/01/1970,06/25/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0,4
190,7478,25,1,初检+,110,110,63,2,25,25,红达106高产,09/12/2018,-1,-1,-1,09/19/2020,07/18/2020,01/01/1970,09/19/2020,01/01/1970,029HO18790,0,5
191,7479,25,1,已配未检,158,158,-1,2,25,25,红达106高产,09/27/2018,-1,-1,-1,01/01/1970,05/31/2020,01/01/1970,09/30/2020,01/01/1970,11116697,0,4
192,7480,25,1,已配未检,81,81,-1,1,25,25,红达102新产,09/27/2018,-1,-1,-1,01/01/1970,08/16/2020,01/01/1970,09/30/2020,01/01/1970,11116697,0,4
193,7482,26,1,产后未配,33,33,-1,0,26,26,红达102新产,08/28/2018,-1,-1,-1,01/01/1970,10/03/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
194,7487,22,1,初检-,135,135,-1,2,22,22,红达102新产,12/12/2018,-1,-1,-1,01/01/1970,06/23/2020,01/01/1970,09/25/2020,01/01/1970,029HO18790,0,3
195,7492,26,1,已配未检,80,80,-1,2,26,26,红达106高产,08/28/2018,-1,-1,-1,01/01/1970,08/17/2020,01/01/1970,10/08/2020,01/01/1970,11116697,0,4
196,7496,27,1,已配未检,78,78,-1,1,27,27,红达102新产,07/28/2018,-1,-1,-1,01/01/1970,08/19/2020,01/01/1970,10/19/2020,01/01/1970,31106121,0,4
197,7497,26,1,初检+,103,103,47,1,26,26,红达106高产,08/28/2018,-1,-1,-1,09/11/2020,07/25/2020,01/01/1970,09/11/2020,01/01/1970,029HO18790,0,5
198,7506,26,1,初检+,136,136,70,2,26,26,红达106高产,08/28/2018,-1,-1,-1,08/31/2020,06/22/2020,01/01/1970,08/31/2020,01/01/1970,029HO18790,0,5
199,7507,26,1,已配未检,99,99,-1,1,26,26,红达106高产,08/28/2018,-1,-1,-1,01/01/1970,07/29/2020,01/01/1970,09/30/2020,01/01/1970,11116697,0,4
200,7510,27,1,已配未检,76,76,-1,1,27,27,红达102新产,07/28/2018,-1,-1,-1,01/01/1970,08/21/2020,01/01/1970,10/27/2020,01/01/1970,31106121,0,4
201,7517,24,1,已配未检,110,110,-1,3,24,24,红达106高产,10/28/2018,-1,-1,-1,01/01/1970,07/18/2020,01/01/1970,10/17/2020,01/01/1970,11116697,0,4
202,7519,25,1,复检+,150,150,64,1,25,25,红达106高产,09/12/2018,-1,-1,-1,08/12/2020,06/08/2020,01/01/1970,08/12/2020,01/01/1970,029HO18790,0,5
203,7525,28,1,已配未检,180,180,-1,2,28,28,红达106高产,06/28/2018,-1,-1,-1,01/01/1970,05/09/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0,4
204,7527,25,1,初检+,127,127,87,3,25,25,红达106高产,09/12/2018,-1,-1,-1,09/27/2020,07/01/2020,01/01/1970,09/27/2020,01/01/1970,029HO18790,0,5
205,7528,26,1,已配未检,88,88,-1,2,26,26,红达102新产,08/28/2018,-1,-1,-1,01/01/1970,08/09/2020,01/01/1970,10/28/2020,01/01/1970,31106121,0,4
206,7530,27,1,初检+,173,173,132,2,27,27,红达106高产,07/28/2018,-1,-1,-1,09/25/2020,05/16/2020,01/01/1970,09/25/2020,01/01/1970,029HO18790,0,5
207,7532,25,1,产后未配,58,58,-1,0,25,25,红达102新产,09/27/2018,-1,-1,-1,01/01/1970,09/08/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
208,7533,26,1,产后未配,57,57,-1,0,26,26,红达301病房,08/28/2018,-1,-1,-1,01/01/1970,09/09/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
209,7535,27,1,已配未检,136,136,-1,2,27,27,红达102新产,07/28/2018,-1,-1,-1,01/01/1970,06/22/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0,4
210,7544,26,1,产后未配,93,93,-1,0,26,26,红达106高产,08/28/2018,-1,-1,-1,01/01/1970,08/04/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
211,7548,25,1,产后未配,6,6,-1,0,25,25,红达301产房,09/27/2018,-1,-1,-1,01/01/1970,10/30/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
212,7549,25,1,初检+,137,137,87,2,25,25,红达106高产,09/12/2018,-1,-1,-1,09/17/2020,06/21/2020,01/01/1970,09/17/2020,01/01/1970,029HO18790,0,5
213,7550,26,1,初检-,96,96,-1,1,26,26,红达106高产,08/28/2018,-1,-1,-1,01/01/1970,08/01/2020,01/01/1970,09/27/2020,01/01/1970,029HO18790,0,3
214,7551,25,1,初检-,142,142,-1,3,25,25,红达106高产,09/12/2018,-1,-1,-1,01/01/1970,06/16/2020,01/01/1970,09/25/2020,01/01/1970,029HO18790,0,3
215,7554,25,1,初检-,107,107,-1,1,25,25,红达106高产,09/12/2018,-1,-1,-1,01/01/1970,07/21/2020,01/01/1970,09/16/2020,01/01/1970,029HO18790,0,3
216,7556,26,1,已配未检,129,129,-1,3,26,26,红达106高产,08/28/2018,-1,-1,-1,01/01/1970,06/29/2020,01/01/1970,10/30/2020,01/01/1970,31106121,0,4
217,7558,25,1,已配未检,87,87,-1,1,25,25,红达102新产,09/12/2018,-1,-1,-1,01/01/1970,08/10/2020,01/01/1970,10/18/2020,01/01/1970,291HO17029,0,4
218,7560,25,1,初检+,101,101,47,1,25,25,红达106高产,09/27/2018,-1,-1,-1,09/12/2020,07/27/2020,01/01/1970,09/12/2020,01/01/1970,029HO18790,0,5
219,7563,25,1,初检+,141,141,103,1,25,25,红达106高产,09/27/2018,-1,-1,-1,09/29/2020,06/17/2020,01/01/1970,09/29/2020,01/01/1970,291HO17029,0,5
220,7564,25,1,初检+,152,152,109,3,25,25,红达106高产,09/12/2018,-1,-1,-1,09/23/2020,06/06/2020,01/01/1970,09/23/2020,01/01/1970,029HO18790,0,5
221,7568,26,1,已配未检,114,114,-1,2,26,26,红达106高产,08/20/2018,-1,-1,-1,01/01/1970,07/14/2020,01/01/1970,10/23/2020,01/01/1970,291HO17029,0,4
222,7570,27,1,复检+,145,145,59,1,27,27,红达106高产,07/21/2018,-1,-1,-1,08/11/2020,06/13/2020,01/01/1970,08/11/2020,01/01/1970,029HO18790,0,5
223,7574,26,1,产后未配,41,41,-1,0,26,26,红达102新产,08/20/2018,-1,-1,-1,01/01/1970,09/25/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
224,7580,27,1,已配未检,81,81,-1,1,27,27,红达102新产,07/21/2018,-1,-1,-1,01/01/1970,08/16/2020,01/01/1970,10/19/2020,01/01/1970,31106121,0,4
225,7588,24,1,复检+,131,131,50,1,24,24,红达102新产,11/05/2018,-1,-1,-1,08/16/2020,06/27/2020,01/01/1970,08/16/2020,01/01/1970,029HO18790,0,5
226,7590,25,1,初检+,116,116,65,1,25,25,红达106高产,10/05/2018,-1,-1,-1,09/15/2020,07/12/2020,01/01/1970,09/15/2020,01/01/1970,029HO18790,0,5
227,7591,27,1,已配未检,124,124,-1,2,27,27,红达106高产,08/05/2018,-1,-1,-1,01/01/1970,07/04/2020,01/01/1970,09/30/2020,01/01/1970,291HO17029,0,4
228,7598,26,1,初检+,149,149,93,2,26,26,红达106高产,09/05/2018,-1,-1,-1,09/11/2020,06/09/2020,01/01/1970,09/11/2020,01/01/1970,029HO18790,0,5
229,7599,27,1,产后未配,43,43,-1,0,27,27,红达102新产,08/05/2018,-1,-1,-1,01/01/1970,09/23/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
230,7618,26,1,产后未配,30,30,-1,0,26,26,红达301病房,09/05/2018,-1,-1,-1,01/01/1970,10/06/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
231,7624,27,1,产后未配,39,39,-1,0,27,27,红达301病房,08/05/2018,-1,-1,-1,01/01/1970,09/27/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
232,7629,26,1,已配未检,101,101,-1,1,26,26,红达106高产,09/05/2018,-1,-1,-1,01/01/1970,07/27/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0,4
233,8011,62,4,已配未检,67,67,-1,1,62,62,红达301病房,08/30/2015,-1,-1,-1,01/01/1970,08/30/2020,01/01/1970,10/27/2020,01/01/1970,31106121,0,4
234,8018,61,4,已配未检,97,97,-1,2,61,61,红达105高产,09/20/2015,-1,-1,-1,01/01/1970,07/31/2020,01/01/1970,10/08/2020,01/01/1970,11116697,0,4
235,8021,60,4,初检+,140,140,74,1,60,60,红达103高产,10/29/2015,-1,-1,-1,08/31/2020,06/18/2020,01/01/1970,08/31/2020,01/01/1970,029HO18790,0,5
236,8023,62,4,产后未配,7,7,-1,0,62,62,红达301产房,09/02/2015,-1,-1,-1,01/01/1970,10/29/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
237,20001,10,0,出生,-1,-1,-1,0,10,10,红达502育成,01/01/2020,291HO16049,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
238,20002,10,0,出生,-1,-1,-1,0,10,10,红达502育成,01/02/2020,291HO16049,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
239,20003,10,0,出生,-1,-1,-1,0,10,10,红达502育成,01/03/2020,291HO16049,151HO01615,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
240,20004,10,0,出生,-1,-1,-1,0,10,10,红达502育成,01/04/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
241,20005,10,0,出生,-1,-1,-1,0,10,10,红达502育成,01/05/2020,291HO16049,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
242,20007,9,0,出生,-1,-1,-1,0,9,9,红达502育成,01/07/2020,291HO16049,AUSHO1682910,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
243,20010,9,0,出生,-1,-1,-1,0,9,9,红达502育成,01/09/2020,291HO16049,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
244,20011,9,0,出生,-1,-1,-1,0,9,9,红达502育成,01/12/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
245,20012,9,0,出生,-1,-1,-1,0,9,9,红达502育成,01/14/2020,291HO16049,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
246,20013,9,0,出生,-1,-1,-1,0,9,9,红达501育成,01/14/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
247,20015,9,0,出生,-1,-1,-1,0,9,9,红达502育成,01/16/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
248,20016,9,0,出生,-1,-1,-1,0,9,9,红达502育成,01/16/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
249,20017,9,0,出生,-1,-1,-1,0,9,9,红达犊牛舍西侧,01/17/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
250,20018,9,0,出生,-1,-1,-1,0,9,9,红达502育成,01/17/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
251,20020,9,0,出生,-1,-1,-1,0,9,9,红达602北育成牛,01/18/2020,11109875,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
252,20021,9,0,出生,-1,-1,-1,0,9,9,红达502育成,01/20/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
253,20024,9,0,出生,-1,-1,-1,0,9,9,红达502育成,01/23/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
254,20025,9,0,出生,-1,-1,-1,0,9,9,红达502育成,01/24/2020,291HO16049,AUSHO1682910,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
255,20026,9,0,出生,-1,-1,-1,0,9,9,红达602北育成牛,01/25/2020,291HO16049,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
256,20027,9,0,出生,-1,-1,-1,0,9,9,红达502育成,01/18/2020,11109875,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
257,20029,9,0,出生,-1,-1,-1,0,9,9,红达502育成,01/27/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
258,20030,9,0,出生,-1,-1,-1,0,9,9,红达502育成,01/27/2020,11109875,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
259,20031,9,0,出生,-1,-1,-1,0,9,9,红达602北育成牛,01/28/2020,11109875,1142,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
260,20032,9,0,出生,-1,-1,-1,0,9,9,红达502育成,01/29/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
261,20033,9,0,出生,-1,-1,-1,0,9,9,红达502育成,01/29/2020,291HO16049,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
262,20034,9,0,出生,-1,-1,-1,0,9,9,红达502育成,01/30/2020,15180513,AUSHO1682910,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
263,20035,9,0,出生,-1,-1,-1,0,9,9,红达502育成,01/31/2020,11109875,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
264,20037,9,0,出生,-1,-1,-1,0,9,9,红达502育成,02/02/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
265,20038,9,0,出生,-1,-1,-1,0,9,9,红达502育成,02/03/2020,15180513,AUSHO1682910,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
266,20039,9,0,出生,-1,-1,-1,0,9,9,红达502育成,02/03/2020,15180513,AUSHO1682910,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
267,20040,9,0,出生,-1,-1,-1,0,9,9,红达502育成,02/04/2020,291HO16049,151HO00731,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
268,20041,9,0,出生,-1,-1,-1,0,9,9,红达502育成,02/05/2020,291HO16049,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
269,20042,9,0,出生,-1,-1,-1,0,9,9,红达502育成,02/05/2020,291HO16049,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
270,20043,9,0,出生,-1,-1,-1,0,9,9,红达502育成,02/05/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
271,20044,8,0,出生,-1,-1,-1,0,8,8,红达502育成,02/06/2020,11109875,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
272,20045,8,0,出生,-1,-1,-1,0,8,8,红达502育成,02/08/2020,291HO16049,AUSHO1682910,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
273,20046,8,0,出生,-1,-1,-1,0,8,8,红达502育成,02/08/2020,11109875,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
274,20047,8,0,出生,-1,-1,-1,0,8,8,红达502育成,02/10/2020,291HO17042,AUSHO1682910,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
275,20048,8,0,出生,-1,-1,-1,0,8,8,红达502育成,02/10/2020,291HO16049,029HO15496,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
276,20049,8,0,出生,-1,-1,-1,0,8,8,红达502育成,02/10/2020,291HO16049,151HO00731,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
277,20050,8,0,出生,-1,-1,-1,0,8,8,红达502育成,02/11/2020,291HO16049,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
278,20051,8,0,出生,-1,-1,-1,0,8,8,红达502育成,02/12/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
279,20054,8,0,出生,-1,-1,-1,0,8,8,红达502育成,02/17/2020,15180513,AUSHO1657573,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
280,20055,8,0,出生,-1,-1,-1,0,8,8,红达502育成,02/19/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
281,20056,8,0,出生,-1,-1,-1,0,8,8,红达501育成,02/19/2020,291HO16049,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
282,20057,8,0,出生,-1,-1,-1,0,8,8,红达502育成,02/19/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
283,20059,8,0,出生,-1,-1,-1,0,8,8,红达502育成,02/22/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
284,20061,8,0,出生,-1,-1,-1,0,8,8,红达502育成,02/23/2020,11109875,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
285,20062,8,0,出生,-1,-1,-1,0,8,8,红达502育成,02/23/2020,15180513,AUSHO1682910,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
286,20063,8,0,出生,-1,-1,-1,0,8,8,红达502育成,02/23/2020,291HO16049,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
287,20064,8,0,出生,-1,-1,-1,0,8,8,红达502育成,02/25/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
288,20065,8,0,出生,-1,-1,-1,0,8,8,红达502育成,02/26/2020,291HO16049,AUSHO1682910,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
289,20066,8,0,出生,-1,-1,-1,0,8,8,红达502育成,02/27/2020,291HO16049,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
290,20067,8,0,出生,-1,-1,-1,0,8,8,红达502育成,02/29/2020,15180513,151HO00653,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
291,20068,8,0,出生,-1,-1,-1,0,8,8,红达502育成,03/01/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
292,20070,8,0,出生,-1,-1,-1,0,8,8,红达602北育成牛,03/04/2020,291HO16049,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
293,20071,8,0,出生,-1,-1,-1,0,8,8,红达602北育成牛,03/05/2020,15180513,151HO00653,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
294,20072,8,0,出生,-1,-1,-1,0,8,8,红达602北育成牛,03/05/2020,11109875,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
295,20073,7,0,出生,-1,-1,-1,0,7,7,红达602北育成牛,03/07/2020,15180513,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
296,20074,7,0,出生,-1,-1,-1,0,7,7,红达602北育成牛,03/07/2020,11109875,-1,-1,01/01/1970,01/01/1970,01/01/1970,01/01/1970,01/01/1970,-1,0,0
